ticker,Name,Sector,Price,Dividend Yield,5-Year Average Dividend Yield,Dividends Per Share,Market Cap,Trailing PE Ratio,Payout Ratio,Beta,52 Week High,52 Week Low
AFCG,"AFC Gamma, Inc.",N/A,$10.19,0.0%,10.7%,$1.56,$211,13.9,259.5%,0.82,$10.22,$6.91
AFRI,Forafric Global PLC,N/A,$10.96,0.0%,0.0%,$0.00,$302,N/A,0.0%,0.48,$12.00,$9.63
AGEN,AGENUS INC,Healthcare,$5.79,0.0%,0.0%,$0.00,$125,N/A,0.0%,2.07,$28.90,$4.41
AGIO,"AGIOS PHARMACEUTICALS, INC.",Healthcare,$46.22,0.0%,0.0%,$0.00,"$2,630",N/A,0.0%,1.10,$50.35,$19.80
AGM,FEDERAL AGRICULTURAL MORTGAGE CORP,Financial Services,$194.46,2.9%,2.2%,$5.00,"$2,114",11.8,39.4%,0.79,$217.60,$137.44
AGS,"PlayAGS, Inc.",Consumer Cyclical,$11.33,0.0%,0.0%,$0.00,$456,97.2,0.0%,1.03,$11.75,$6.27
AGTI,"AGILITI, INC. \DE",N/A,$10.07,0.0%,0.0%,$0.00,"$1,363",N/A,N/A,0.91,,
AGX,ARGAN INC,Industrials,$76.35,2.0%,1.5%,$1.20,"$1,019",28.3,40.3%,0.46,$81.05,$39.13
AGYS,AGILYSYS INC,Technology,$110.32,0.0%,0.0%,$0.12,"$3,078",119.5,3.4%,0.64,$114.12,$63.78
AHCO,AdaptHealth Corp.,Healthcare,$10.45,0.0%,0.0%,$0.00,"$1,405",N/A,N/A,1.22,$12.44,$6.37
AHH,"Armada Hoffler Properties, Inc.",Real Estate,$12.17,7.0%,5.9%,$0.80,$826,N/A,996.0%,0.91,$12.42,$9.29
AI,"C3.ai, Inc.",Real Estate,$24.51,0.0%,0.0%,$0.00,"$3,061",N/A,0.0%,2.62,$38.30,$20.23
AIN,ALBANY INTERNATIONAL CORP /DE/,Consumer Cyclical,$91.40,1.0%,1.0%,$1.03,"$2,852",26.1,29.0%,0.87,$98.83,$77.53
AIR,AAR CORP,Industrials,$65.05,0.0%,0.1%,$0.38,"$2,317",50.0,0.0%,1.05,$76.34,$54.71
AIRS,"Airsculpt Technologies, Inc.",N/A,$4.51,0.0%,2.1%,$0.41,$259,N/A,N/A,2.04,$8.48,$2.92
AIT,APPLIED INDUSTRIAL TECHNOLOGIES INC,Industrials,$208.09,0.7%,0.6%,$1.11,"$7,977",20.7,14.5%,0.84,$222.73,$148.73
AIV,APARTMENT INVESTMENT & MANAGEMENT CO,Real Estate,$8.92,0.0%,0.9%,$0.02,"$1,262",N/A,N/A,1.15,$9.20,$5.63
AKR,ACADIA REALTY TRUST,Real Estate,$22.36,3.4%,3.1%,$0.72,"$2,356",1209.0,N/A,1.11,$22.51,$12.82
AKRO,"Akero Therapeutics, Inc.",Healthcare,$27.46,0.0%,0.0%,$0.00,"$1,907",N/A,0.0%,-0.22,$53.77,$11.25
AKTS,"Akoustis Technologies, Inc.",Technology,$0.10,0.0%,0.0%,$0.00,$10,N/A,0.0%,2.58,$2.02,$0.07
AKYA,"Akoya Biosciences, Inc.",N/A,$2.58,0.0%,0.0%,$0.00,$128,N/A,0.0%,1.91,$6.31,$1.88
ALCO,"ALICO, INC.",Consumer Defensive,$29.18,1.0%,3.0%,$0.20,$223,8.6,6.0%,0.37,$30.84,$23.27
